ID,Points,Label
378,945,"Jonne"
379,743,"Speed"
380,5156,"still nameless"
381,2910,"Wolfe"
382,716,"[ÐøÐ] NeoN"
383,6962,"ZiKkie"
384,3042,"6uHo3aBp"
385,1223,"βumpi™"
386,1731,"zul"
387,650,"Batman"
388,2389,"GOO"
389,970,"OOGN"
390,652,"iTz'SeqeRem#"
391,4298,"onMouseOver"
392,4496,"brownie_fresser"
393,8212,"Moiman"
394,2290,"MatzeeE"
395,889,"Dadi"
396,2960,"noob"
397,4080,"rqza"
398,1473,"Chicken"
399,8325,"GlobQ"
400,4892,"Bibi"
401,1674,"Kaama"
402,5414,"Atomcat"
403,1175,"Naruto"
404,11465,"QzBoY"
405,2637,"kamillentee"
406,925,"NoirDiavle"
407,1549,"basil"
408,1170,"Díìana"
409,4521,"Joker"
410,9468,"Hydra"
411,1142,"Azrael-DA"
412,1039,"xXx"
413,3330,"Ares"
414,804,"blizex"
415,752,"16"
416,2412,"Schokiii"
417,863,"X-Faktor das"
418,1309,"relas.'"
419,9294,"Skeith"
420,7372,"Bre3kAcHu"
421,1078,".drit*"
422,1666,"6y6JIuk"
423,627,"robinator"
424,680,"Puffmusiker"
425,1490,"Tobii"
426,634,"mr3xX"
427,824,"Ðíƞƞèř"
428,1011,"d0tv0x"
429,2281,"Derk"
430,1357,"MeTRoX"
431,2245,"qLexx"
432,876,"**Santa BoSs**"
433,631,"Gorilla"
434,2237,"AFFI"
435,2045,"Matodor"
436,1568,"(1)nameless tee"
437,3756,"vic"
438,2259,"Newce"
439,7377,":)"
440,6627,"Ļåҕ | Duck"
441,2146,"ASsassin"
442,605,"Yoydex"
443,3531,"q(-_-)p"
444,2181,"~*PatrickStar*~"
445,2730,"*$Benny$*"
446,729,"(1)empty"
447,1531,"bombi"
448,2130,"Tony"
449,782,"piglo_rus"
450,3539,"Zerstrian"
451,1573,"Kenny"
452,5455,"DarkCat"
453,6033,"nealson T'nP"
454,6045,"Pilbo"
455,1136,"Nathan"
456,1409,"Pop"
457,2156,"knuffäl"
458,926,"Tyger"
459,1901,"IIRicardoII"
