Rank,Player,Points,TotalTime(Hours)
376,Fraanco,7890,638.64
377,YB,4136,638.54
378,34861,1718,637.7
379,☆八云紫☆,5600,637.26
380,萌新,754,636.41
381,小涵,6190,636.26
382,一城之诗。,5815,636.09
383,直叶,4811,634.93
384,pantless tee,4010,634.45
385,ZiKkie,11917,634.43
386,kill the tee,8914,632.31
387,R!ZH@S^^,6614,631.83
388,.lililil,7429,630.36
389,小喵喵,4503,630.29
390,Tee,3905,629.61
391,Z[a]X,9607,629.47
392,Pth.s,6045,627.79
393,Shinoa :3,8233,626.87
394,shoxX,13244,626.56
395,救救我,1129,626.52
396,Oarsman,4028,626.5
397,伦敦,3586,625.83
398,daladen,11504,624.81
399,Sunshine,9907,624.07
400,me 2,7239,623.24
401,@string/name,6869,623.01
402,-nOobfighter-,12629,622.44
403,⚡-єxoтi¢,5666,622.35
404,marzzzello,7719,621.73
405,卅白,5064,620.46
406,DoubleDipp,11395,620.44
407,Avo,8759,620.3
408,卡那那,2386,620.26
409,DongRin,3937,620.26
410,Ama,12376,618.75
411,bit,7056,618.39
412,it robertusg,10367,617.74
413,White-King,12240,617.44
414,Limbo,15949,617.07
415,Nightcall,7677,616.77
416,f8702111,5029,616.42
417,Cherry,10826,616.29
418,darkfeather,6057,616.1
419,Shrekich,11410,616.01
420,AlphaKennyBody,6056,614.8
421,-=SNZDuMoHRUS=-,2203,613.26
422,Cadi,9878,612.64
423,©ßøæø®,12548,612.43
424,Jojo,10793,612.34
425,15,10172,611.88
426,Van Flyheight,9551,610.93
427,T,2527,610.77
428,Ra!n,12326,610.75
429,原萃,3048,609.67
430,Her0,12623,608.35
431,Sαnti~,13421,607.97
432,HalfN00b,12683,607.89
433,King,8369,607.69
434,孤岛,4495,607.31
435,CHEN,1524,607.03
436,Beard,10397,606.06
437,StarkillerJr.<3,15520,606.01
438,大块,6717,605.85
439,Hunter13ua,10113,605.64
440,holic,6967,604.76
441,Axel,5658,604.57
442,UnCool Me,7344,604.48
443,♥|Duca,4236,604.3
444,Petyr,3785,603.03
445,Dummy,3854,602.96
446,Tina,3145,602.9
447,Rakudai,11047,602.68
448,Nico,4655,602.67
449,noob,3358,602.53
450,FiL,12710,602.16
451,Oldnescius,6557,602.1
452,Mr. Hyde,8338,601.98
453,gs,3950,601.55
454,diamantium,6670,601.45
455,Travis,4792,600.29
456,BLACK-D,5997,600.06
457,AIIERE,1776,598.85
458,[CSGS]Runescape,3848,598.44
459,Donger,14276,597.68
460,Rui,5180,597.19
461,Hidden-Ezio,11098,595.85
462,RavQ,5440,595.75
463,-Mage-,13431,595.59
464,BANaninhaMarela,4991,595.54
465,Arrow,9081,594.79
466,AssasinMaster,8318,594.78
467,Cerry,1810,594.65
468,M Emile,10312,594.58
469,B'RexterPL,10052,594.5
470,ShenFRusH,8654,594.25
471,lNobody22l,9323,594.19
472,*~Rôny~*,14095,594.05
473,White Shark,3107,593.82
474,new boy,5792,593.71
475,RageBaby,10575,592.86
476,fla_flou,2871,592.79
477,Zephir,6527,592.07
478,Zzayyy,4710,591.35
479,윰도,3287,590.99
480,白给,2363,590.4
481,哦还好,5604,590.3
482,Over,6038,589.27
483,«Èni®õ§|*>,11637,589.01
484,烟雨,1165,588.89
485,娃哈哈,4509,588.66
486,Greenman,9449,588.37
487,NISO,14153,587.86
488,FunCat,8943,587.17
489,小木呆,3115,586.88
490,Shisui.,9636,586.86
491,Fengriz,3852,586.65
492,SBL,7597,585.56
493,Amu~Cookie,10944,585.4
494,Mr.E}|{UK,14268,585.36
495,乌鸦坐飞机,6975,585.33
496,chiliking,5367,584.96
497,lalaq,3580,584.9
498,Liverpool,7277,584.49
499,Banger,5563,584.4
500,.pet,6918,584.23
501,dfceaef,1664,583.54
502,Lexin,13379,582.71
503,tatak,13112,582.41
504,JsxfT,6937,582.37
505,Jarexxx,1633,581.89
506,superob96,9305,581.79
507,950,9485,581.43
508,Meow~,17962,581.41
509,Smetanolub,18857,581.05
510,mydak,3369,581.0
511,Nick Joy,3500,580.93
512,لارقام✈,10140,580.91
513,Antoki,5244,580.71
514,caritouwu,6899,580.59
515,Zyt,3406,580.45
516,тυx,13143,580.31
517,eXirus,5254,579.91
518,Kandiifloss,13261,579.57
519,自行车,5332,579.44
520,NANAMAR,13436,579.0
521,Gigabyte,12990,578.55
522,Likyta,5954,577.02
523,Nidalee,6584,576.51
524,asdf,3367,576.09
525,一飞,5209,574.94
526,Toffee,6778,574.93
527,lll,5443,574.83
528,Bre3kAcHu,11555,574.05
529,Skizhu,5316,574.01
530,Evgesha,13477,573.55
531,LeRa,9686,573.22
532,yewon,4212,573.12
533,大py子,3683,572.23
534,Kuchen,7926,571.91
535,unstable,4046,571.37
536,PARKCHANYEOL,3182,570.63
537,晨晨,5183,570.55
538,Gooran,10936,570.43
