Rank,Player,Points,TotalTime(Hours)
937,TLF,2337,450.42
938,Thurzin,6905,450.17
939,Gin,6088,450.14
940,OnePiece,6903,450.11
941,Schlappen,2307,450.08
942,snowmaster,1695,449.78
943,草绿舔舔狗,3572,449.45
944,Greeen,6430,449.44
945,tee,1842,449.41
946,无疑,2794,449.01
947,wrnnn,4041,448.88
948,The Direwolf,9136,448.68
949,superZ,2863,448.64
950,ALXE,3619,448.59
951,Abby意颖,1958,448.4
952,H,3578,448.17
953,Feyre,4226,447.28
954,Eyex,7077,446.84
955,MingYue,6505,445.9
956,サスカ,3957,445.86
957,snowwy,3598,445.83
958,dmd,1941,445.77
959,阿北初四了,2363,445.6
960,Shouganai,4099,445.59
961,Fasterbru,4692,445.39
962,Damocles,8391,445.07
963,z22215645,3203,444.72
964,secreT,6349,444.72
965,Baby Groot,7776,444.56
966,NRG,5527,444.17
967,Broei,8787,444.07
968,踢,4762,443.97
969,VL100,7667,443.9
970,Keyowah,7229,443.88
971,Sui :3,8459,443.85
972,Zukita,4581,443.78
973,Jim-panse,11159,443.77
974,卡娜娜,1614,443.58
975,oBc.Laki,4628,443.39
976,pipefox,4356,442.32
977,奶茶没奶,1924,442.03
978,Haraknos,6094,442.02
979,Tavo,3287,441.88
980,欢欢,2273,441.54
981,益达,3026,441.54
982,Flaca,3872,441.3
983,MuTzEl,3228,440.84
984,xXìcéXx,3770,440.78
985,Victory,1618,440.68
986,Kono Dukemon da,1774,440.28
987,asa,3239,440.14
988,Timstar08,2152,439.57
989,Novice小慕情,5095,439.45
990,Plowpowa,7515,439.36
991,违法昵称,2886,439.34
992,Leonidas,4512,438.68
993,Grizzly,7166,438.4
994,Twixco,4740,438.3
995,Zodiac星宫,3490,438.29
996,Irishidiot,7290,438.05
997,Venoso,5232,438.0
998,Moni,6151,437.85
999,YK,8834,437.29
1000,qwq,805,436.88
