Rank,Nickname,Points,Insane_pts,List_of_insane_maps
728,I.K.U,15394,356,[('Binary', 34), ('Adrenaline 4.2', 34), ('Ravillion', 38), ('Springlobe 3', 34), ("Yo'Ci", 34), ('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('4q', 34), ('Back in Time 2', 42), ('HellCore', 38)]
729,Cazanna,15453,68,[('Binary', 34), ('4q', 34)]
730,Blurry,15458,186,[('Binary', 34), ('Adrenaline 4.2', 34), ('Springlobe 3', 34), ('Back in Time 2', 42), ('4u', 42)]
731,Tea,15718,406,[('Binary', 34), ('Adrenaline 4.2', 34), ('Ravillion', 38), ("Yo'Ci", 34), ('Adrenaline 4', 50), ('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('Not Naufrage 4', 34), ('4q', 34), ('New Generation', 38), ('Back in Time 2', 42)]
732,Graves,15759,394,[('Aimlicious', 42), ('Shockwave', 34), ('Genericore 6', 34), ('Aimazing', 34), ("Yo'Ci", 34), ('Firestone', 38), ('The Enchanted Clearing', 34), ('4q', 34), ('New Generation', 38), ('Ton', 34), ('HellCore', 38)]
733,Chairn,15797,110,[('New Generation', 38), ("Yo'Ci", 34), ('HellCore', 38)]
734,Limbo,15899,68,[('Adrenaline 4.2', 34), ("Yo'Ci", 34)]
735,Knuski,16305,212,[('Binary', 34), ('Ravillion', 38), ('Aimazing', 34), ('Springlobe 3', 34), ('Firestone', 38), ('The Enchanted Clearing', 34)]
736,Forris,16723,718,[('Adrenaline 5', 42), ('Aimlicious', 42), ('Adrenaline 4.2', 34), ('Genericore 8', 38), ('Justice', 34), ('Regen 2', 34), ('Aimazing', 34), ("Yo'Ci", 34), ('Tatooine 2', 42), ('Falling Down', 38), ('Justice 2', 42), ('Adrenaline 4.1', 34), ('Adrenaline 4', 50), ('The Enchanted Clearing', 34), ('Springlobe 3', 34), ('4u', 42), ('New Generation', 38), ('Generic World', 34), ('Resistance', 38)]
737,'faceless,16902,102,[('Shockwave', 34), ('Generic World', 34), ('Springlobe 3', 34)]
738,Soapy Sandwich,16933,68,[('The Enchanted Clearing', 34), ('Justice', 34)]
739,Ske,17109,326,[('Adrenaline 5', 42), ('Shockwave', 34), ('Genericore 8', 38), ('Ton', 34), ('Aimazing', 34), ('Adrenaline 4.1', 34), ('4q', 34), ('Generic World', 34), ('4u', 42)]
740,LanuX,17419,318,[('Shockwave', 34), ('Justice', 34), ('Regen 2', 34), ('Genericore 6', 34), ('Falling Down', 38), ('The Enchanted Clearing', 34), ('4q', 34), ('Ghoul', 42), ('Generic World', 34)]
741,Cøke,17839,38,[('Ravillion', 38)]
742,Konsti,18063,542,[('Shockwave', 34), ('Binary', 34), ('Adrenaline 4.2', 34), ('Regen 2', 34), ('Ravillion', 38), ("Yo'Ci", 34), ('Springlobe 3', 34), ('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('Heartcore', 42), ('4q', 34), ('Ton', 34), ('Back in Time 2', 42), ('HellCore', 38), ('4u', 42)]
743,gB. | Kayumi,18211,326,[('Adrenaline 4.2', 34), ('Justice', 34), ('Aimazing', 34), ('Adrenaline 4.1', 34), ('Not Naufrage 4', 34), ('Generic World', 34), ('Back in Time 2', 42), ('HellCore', 38), ('4u', 42)]
744,lufu1,18347,126,[('Back in Time 2', 42), ('Regen 2', 34), ('Adrenaline 4', 50)]
745,superdial,18395,110,[('4q', 34), ('Ravillion', 38), ('HellCore', 38)]
746,DaGiese :>,18415,288,[('Adrenaline 5', 42), ('Adrenaline 4.2', 34), ('Genericore 6', 34), ('Aimazing', 34), ("Yo'Ci", 34), ('Adrenaline 4.1', 34), ('Generic World', 34), ('4u', 42)]
747,Cyclic~,18446,904,[('Adrenaline 5', 42), ('Aimlicious', 42), ('Firestone', 38), ('Tatooine 2', 42), ('The Enchanted Clearing', 34), ('Heartcore', 42), ('Generic World', 34), ('4u', 42), ('Resistance', 38), ('Regen 2', 34), ('Ravillion', 38), ('Aimazing', 34), ('Adrenaline 4', 50), ('Adrenaline 4.1', 34), ('Binary', 34), ('Genericore 8', 38), ('Shockwave', 34), ('Genericore 6', 34), ("Yo'Ci", 34), ('Springlobe 3', 34), ('Falling Down', 38), ('New Generation', 38), ('Ghoul', 42), ('Ton', 34)]
748,Beiroc,18479,110,[('Binary', 34), ('Justice 2', 42), ('Justice', 34)]
749,FUMOFFU,18597,220,[('Adrenaline 4.2', 34), ('Genericore 6', 34), ('Justice 2', 42), ('Springlobe 3', 34), ('Adrenaline 4.1', 34), ('4u', 42)]
750,ZimE,18724,38,[('Ravillion', 38)]
751,Cireme,18877,322,[('Shockwave', 34), ('Justice', 34), ('Aimazing', 34), ('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('4q', 34), ('New Generation', 38), ('Back in Time 2', 42), ('HellCore', 38)]
752,ano :3,19047,470,[('Binary', 34), ('Adrenaline 4.2', 34), ('Genericore 6', 34), ('Ravillion', 38), ("Yo'Ci", 34), ('Springlobe 3', 34), ('Adrenaline 4', 50), ('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('Not Naufrage 4', 34), ('4q', 34), ('HellCore', 38), ('Resistance', 38)]
753,Wombat,19116,148,[('Adrenaline 5', 42), ('Adrenaline 4.1', 34), ('HellCore', 38), ('Regen 2', 34)]
754,milk,19305,106,[('Generic World', 34), ('HellCore', 38), ('Regen 2', 34)]
755,Tropo,19476,836,[('Adrenaline 5', 42), ('Aimlicious', 42), ('Adrenaline 4.2', 34), ('Justice', 34), ('Tatooine 2', 42), ('The Enchanted Clearing', 34), ('4u', 42), ('Resistance', 38), ('Justice 2', 42), ('Adrenaline 4', 50), ('Adrenaline 4.1', 34), ('Nether', 34), ('Binary', 34), ('Genericore 8', 38), ('Shockwave', 34), ('Genericore 6', 34), ("Yo'Ci", 34), ('Falling Down', 38), ('New Generation', 38), ('Ghoul', 42), ('Ton', 34), ('Back in Time 2', 42)]
756,Kicker,19866,964,[('Aimlicious', 42), ('Adrenaline 4.2', 34), ('Justice', 34), ('Firestone', 38), ('Tatooine 2', 42), ('The Enchanted Clearing', 34), ('Heartcore', 42), ('4q', 34), ('Generic World', 34), ('4u', 42), ('Resistance', 38), ('Regen 2', 34), ('Ravillion', 38), ('Justice 2', 42), ('Aimazing', 34), ('Binary', 34), ('Genericore 8', 38), ('Shockwave', 34), ('Genericore 6', 34), ("Yo'Ci", 34), ('Springlobe 3', 34), ('New Generation', 38), ('Ghoul', 42), ('Ton', 34), ('Back in Time 2', 42), ('HellCore', 38)]
757,ScReeNy,19898,436,[('Binary', 34), ('Justice', 34), ('Regen 2', 34), ('Genericore 6', 34), ('Ravillion', 38), ('Aimazing', 34), ('Firestone', 38), ('Justice 2', 42), ('Adrenaline 4.1', 34), ('Heartcore', 42), ('New Generation', 38), ('Generic World', 34)]
758,=Schulzer=,19931,190,[('Binary', 34), ('Adrenaline 4.2', 34), ('Justice', 34), ('Adrenaline 4', 50), ('HellCore', 38)]
759,NovaShock,20054,140,[('The Enchanted Clearing', 34), ('Binary', 34), ('Ravillion', 38), ('Justice', 34)]
760,MPA3b,20232,34,[('Adrenaline 4.1', 34)]
761,Xi,20608,614,[('Binary', 34), ('Ton', 34), ('Shockwave', 34), ('Adrenaline 4.2', 34), ('Genericore 6', 34), ('Ravillion', 38), ('Aimazing', 34), ('Springlobe 3', 34), ("Yo'Ci", 34), ('Falling Down', 38), ('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('Adrenaline 4', 50), ('Heartcore', 42), ('4q', 34), ('Generic World', 34), ('HellCore', 38)]
762,Goran,20779,110,[('Binary', 34), ('Justice 2', 42), ('Justice', 34)]
763,Black Jack,20882,148,[('Ravillion', 38), ('Aimazing', 34), ('4q', 34), ('4u', 42)]
764,_,21081,614,[('Adrenaline 5', 42), ('Shockwave', 34), ('Genericore 8', 38), ('Adrenaline 4.2', 34), ('Binary', 34), ('Genericore 6', 34), ('Ravillion', 38), ('Aimazing', 34), ("Yo'Ci", 34), ('Springlobe 3', 34), ('Generic World', 34), ('Adrenaline 4.1', 34), ('4q', 34), ('Ton', 34), ('Back in Time 2', 42), ('HellCore', 38), ('4u', 42)]
765,triki,21433,394,[('Shockwave', 34), ('Genericore 8', 38), ('Adrenaline 4.2', 34), ('Justice', 34), ('Genericore 6', 34), ('Firestone', 38), ("Yo'Ci", 34), ('Tatooine 2', 42), ('The Enchanted Clearing', 34), ('New Generation', 38), ('Ton', 34)]
766,<BµmM>,21848,934,[('Aimlicious', 42), ('Adrenaline 4.2', 34), ('Justice', 34), ('Tatooine 2', 42), ('Heartcore', 42), ('4q', 34), ('Generic World', 34), ('4u', 42), ('Resistance', 38), ('Regen 2', 34), ('Aimazing', 34), ('Justice 2', 42), ('Adrenaline 4', 50), ('Adrenaline 4.1', 34), ('Genericore 8', 38), ('Not Naufrage 4', 34), ('Shockwave', 34), ('Genericore 6', 34), ("Yo'Ci", 34), ('Springlobe 3', 34), ('Falling Down', 38), ('New Generation', 38), ('Ton', 34), ('Back in Time 2', 42), ('HellCore', 38)]
767,Noctua,21959,284,[('Ravillion', 38), ("Yo'Ci", 34), ('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('Ton', 34), ('Shawker', 34), ('HellCore', 38), ('Resistance', 38)]
768,Infern@L,22016,326,[('Adrenaline 5', 42), ('Adrenaline 4.2', 34), ('Ton', 34), ("Yo'Ci", 34), ('Adrenaline 4.1', 34), ('4q', 34), ('Generic World', 34), ('HellCore', 38), ('4u', 42)]
769,Aoe,22433,740,[('Aimlicious', 42), ('Binary', 34), ('Adrenaline 4.2', 34), ('Justice', 34), ('Regen 2', 34), ('Genericore 6', 34), ('Ravillion', 38), ('Aimazing', 34), ('Springlobe 3', 34), ('Firestone', 38), ('Falling Down', 38), ('Shawker', 34), ('Adrenaline 4.1', 34), ('Adrenaline 4', 50), ('Heartcore', 42), ('4q', 34), ('New Generation', 38), ('Generic World', 34), ('Back in Time 2', 42), ('Resistance', 38)]
770,.:Danytto:.,22502,816,[('Adrenaline 4.2', 34), ('Firestone', 38), ('Tatooine 2', 42), ('4q', 34), ('Generic World', 34), ('4u', 42), ('Resistance', 38), ('Regen 2', 34), ('Ravillion', 38), ('Aimazing', 34), ('Adrenaline 4', 50), ('Adrenaline 4.1', 34), ('Genericore 8', 38), ('Shockwave', 34), ('Genericore 6', 34), ("Yo'Ci", 34), ('Springlobe 3', 34), ('Falling Down', 38), ('New Generation', 38), ('Ghoul', 42), ('Ton', 34), ('HellCore', 38)]
771,bano,23535,588,[('Shockwave', 34), ('Genericore 8', 38), ('Adrenaline 4.2', 34), ('Justice', 34), ('Genericore 6', 34), ('Aimazing', 34), ("Yo'Ci", 34), ('Adrenaline 4', 50), ('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('Falling Down', 38), ('4q', 34), ('Ton', 34), ('Back in Time 2', 42), ('HellCore', 38), ('4u', 42)]
772,BaconDrink,24015,432,[('Binary', 34), ('Justice', 34), ('Regen 2', 34), ('Ravillion', 38), ('Firestone', 38), ("Yo'Ci", 34), ('The Enchanted Clearing', 34), ('4q', 34), ('4u', 42), ('New Generation', 38), ('Ton', 34), ('Resistance', 38)]
773,TyшkaNчuk,24350,626,[('Adrenaline 5', 42), ('Shockwave', 34), ('Aimlicious', 42), ('Genericore 8', 38), ('Ton', 34), ('Genericore 6', 34), ('Firestone', 38), ('Aimazing', 34), ('Justice 2', 42), ('Falling Down', 38), ('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('Springlobe 3', 34), ('4q', 34), ('Generic World', 34), ('HellCore', 38), ('4u', 42)]
774,HaHAxD*,24779,956,[('Aimlicious', 42), ('Adrenaline 4.2', 34), ('Justice', 34), ('The Enchanted Clearing', 34), ('4q', 34), ('Generic World', 34), ('4u', 42), ('Resistance', 38), ('Regen 2', 34), ('Ravillion', 38), ('Aimazing', 34), ('Justice 2', 42), ('Adrenaline 4', 50), ('Adrenaline 4.1', 34), ('Binary', 34), ('Genericore 8', 38), ('Not Naufrage 4', 34), ('Shockwave', 34), ('Genericore 6', 34), ("Yo'Ci", 34), ('Springlobe 3', 34), ('Falling Down', 38), ('New Generation', 38), ('Ton', 34), ('Back in Time 2', 42), ('HellCore', 38)]
775,Colo-Colo,24783,1052,[('Adrenaline 5', 42), ('Adrenaline 4.2', 34), ('Firestone', 38), ('Tatooine 2', 42), ('The Enchanted Clearing', 34), ('Heartcore', 42), ('4q', 34), ('Generic World', 34), ('4u', 42), ('Resistance', 38), ('Regen 2', 34), ('Ravillion', 38), ('Aimazing', 34), ('Justice 2', 42), ('Adrenaline 4', 50), ('Adrenaline 4.1', 34), ('Binary', 34), ('Genericore 8', 38), ('Shockwave', 34), ('Genericore 6', 34), ("Yo'Ci", 34), ('Springlobe 3', 34), ('Falling Down', 38), ('New Generation', 38), ('Ghoul', 42), ('Ton', 34), ('Back in Time 2', 42), ('HellCore', 38)]
776,Freezestyler,25165,1228,[('Adrenaline 5', 42), ('Aimlicious', 42), ('Adrenaline 4.2', 34), ('Justice', 34), ('Grim Reaper', 50), ('Firestone', 38), ('Tatooine 2', 42), ('The Enchanted Clearing', 34), ('Heartcore II', 50), ('Heartcore', 42), ('4q', 34), ('Generic World', 34), ('Resistance', 38), ('4u', 42), ('Regen 2', 34), ('Ravillion', 38), ('Aimazing', 34), ('Justice 2', 42), ('Adrenaline 4', 50), ('Adrenaline 4.1', 34), ('Binary', 34), ('Genericore 8', 38), ('Shockwave', 34), ('Genericore 6', 34), ("Yo'Ci", 34), ('Springlobe 3', 34), ('Falling Down', 38), ('New Generation', 38), ('Ghoul', 42), ('Ton', 34), ('Back in Time 2', 42), ('HellCore', 38)]
777,Grk0ne,25531,1052,[('Adrenaline 5', 42), ('Aimlicious', 42), ('Adrenaline 4.2', 34), ('Firestone', 38), ('Tatooine 2', 42), ('The Enchanted Clearing', 34), ('Heartcore', 42), ('4q', 34), ('Generic World', 34), ('4u', 42), ('Resistance', 38), ('Regen 2', 34), ('Ravillion', 38), ('Aimazing', 34), ('Justice 2', 42), ('Adrenaline 4', 50), ('Adrenaline 4.1', 34), ('Binary', 34), ('Genericore 8', 38), ('Shockwave', 34), ('Genericore 6', 34), ("Yo'Ci", 34), ('Springlobe 3', 34), ('Falling Down', 38), ('New Generation', 38), ('Ghoul', 42), ('Ton', 34), ('HellCore', 38)]
778,Starkiller,25771,1246,[('Aimlicious', 42), ('Adrenaline 5', 42), ('Adrenaline 4.2', 34), ('Justice', 34), ('Grim Reaper', 50), ('Firestone', 38), ('Tatooine 2', 42), ('The Enchanted Clearing', 34), ('Heartcore', 42), ('4q', 34), ('Generic World', 34), ('Resistance', 38), ('4u', 42), ('Regen 2', 34), ('Ravillion', 38), ('Aimazing', 34), ('Justice 2', 42), ('Adrenaline 4', 50), ('Adrenaline 4.1', 34), ('Nether', 34), ('Binary', 34), ('Genericore 8', 38), ('Not Naufrage 4', 34), ('Shockwave', 34), ('Genericore 6', 34), ("Yo'Ci", 34), ('Springlobe 3', 34), ('Falling Down', 38), ('New Generation', 38), ('Ghoul', 42), ('Ton', 34), ('Back in Time 2', 42), ('HellCore', 38)]
779,Cor,26023,1330,[('Aimlicious', 42), ('Adrenaline 5', 42), ('Adrenaline 4.2', 34), ('Justice', 34), ('Grim Reaper', 50), ('Firestone', 38), ('Tatooine 2', 42), ('The Enchanted Clearing', 34), ('Heartcore II', 50), ('Heartcore', 42), ('4q', 34), ('Shawker', 34), ('Generic World', 34), ('Resistance', 38), ('4u', 42), ('Regen 2', 34), ('Ravillion', 38), ('Aimazing', 34), ('Justice 2', 42), ('Adrenaline 4', 50), ('Adrenaline 4.1', 34), ('Nether', 34), ('Binary', 34), ('Genericore 8', 38), ('Not Naufrage 4', 34), ('Shockwave', 34), ('Genericore 6', 34), ('Springlobe 3', 34), ("Yo'Ci", 34), ('Falling Down', 38), ('New Generation', 38), ('Ghoul', 42), ('Ton', 34), ('Back in Time 2', 42), ('HellCore', 38)]
