Rank,Nickname,Points,Insane_pts,List_of_insane_maps
169,Lena [Bot],130,38,[('Ravillion', 38)]
170,CHILE > GER,131,76,[('Ton', 34), ('4u', 42)]
171,Ne Li,138,42,[('Heartcore', 42)]
172,Dareke,138,34,[('Binary', 34)]
173,jao cuckold,142,38,[('Ravillion', 38)]
174,qi ropt,147,42,[('Heartcore', 42)]
175,kenzo es gay:v,148,38,[('Ravillion', 38)]
176,Gay,156,38,[('Ravillion', 38)]
177,'Ru|=Novi4ok=,159,38,[('Ravillion', 38)]
178,Darek,163,34,[('Binary', 34)]
179,OmNi,167,42,[('Heartcore', 42)]
180,l,174,34,[('Justice', 34)]
181,Chlenix,175,38,[('Ravillion', 38)]
182,KittenNamedGav,180,42,[('4u', 42)]
183,cross,182,34,[('Shockwave', 34)]
184,linaa,185,38,[('Ravillion', 38)]
185,yuyulaplusbella,187,38,[('Ravillion', 38)]
186,Milim,188,34,[('Springlobe 3', 34)]
187,Brokecdxtwo-,189,34,[('Binary', 34)]
188,¤Jimmy¤,195,34,[('Aimazing', 34)]
189,raptu,213,34,[('Genericore 6', 34)]
190,ronan simp,214,34,[('Binary', 34)]
191,_shadow_tv_,217,42,[('Back in Time 2', 42)]
192,A U R A,223,34,[('Shockwave', 34)]
193,jao gay,223,34,[('Genericore 6', 34)]
194,Kicker loh,225,38,[('Ravillion', 38)]
195,Dareku,227,34,[('Binary', 34)]
196,PkwA,231,38,[('Ravillion', 38)]
197,roco T'nP,238,34,[('Binary', 34)]
198,Faker,238,38,[('Ravillion', 38)]
199,np,241,76,[('Binary', 34), ('Heartcore', 42)]
200,Noodles,241,38,[('Ravillion', 38)]
201,SPYKERSUX,244,42,[('4u', 42)]
202,Rick,248,38,[('Ravillion', 38)]
203,lumy,250,42,[('Back in Time 2', 42)]
204,Homo,255,80,[('Ravillion', 38), ('Heartcore', 42)]
205,grk es gay:v,264,38,[('Ravillion', 38)]
206,Yumiko!,264,34,[('4q', 34)]
207,(1)Jesus Christ,269,38,[('Ravillion', 38)]
208,Chao_BY,273,34,[('Ton', 34)]
209,y,273,38,[('Ravillion', 38)]
210,reo,277,76,[('Back in Time 2', 42), ('4q', 34)]
211,Zorua,291,38,[('Ravillion', 38)]
212,[D] Roco,295,34,[('Binary', 34)]
213,zєℓ∂α♥,295,38,[('Ravillion', 38)]
214,Dareky,301,34,[('Binary', 34)]
215,asdfjklö,305,42,[('Back in Time 2', 42)]
216,xeno²,306,106,[('Binary', 34), ('Ravillion', 38), ('Aimazing', 34)]
217,no u,311,34,[('Genericore 6', 34)]
218,kicker loh,315,34,[('Binary', 34)]
219,qed,319,38,[('Ravillion', 38)]
220,triki kogdaskip,324,270,[('Binary', 34), ('Ravillion', 38), ('Justice 2', 42), ('New Generation', 38), ('Ghoul', 42), ('Ton', 34), ('4u', 42)]
221,Kimmy Granger,327,38,[('Ravillion', 38)]
222,bra!der,332,34,[('Ton', 34)]
223,Freezestylersux,342,34,[("Yo'Ci", 34)]
224,...............,346,34,[('Justice', 34)]
225,x=9,348,34,[('Regen 2', 34)]
226,Twike sucks,349,38,[('Ravillion', 38)]
227,Ruka Sarashina,352,34,[('Not Naufrage 4', 34)]
228,Suno,356,114,[('Binary', 34), ('Ravillion', 38), ('Heartcore', 42)]
229,vendeta lox,369,38,[('Ravillion', 38)]
230,CrimZ,372,38,[('Ravillion', 38)]
231,Miulaplusbella,378,38,[('Ravillion', 38)]
232,[D] Folugen,380,38,[('Ravillion', 38)]
233,Eizō,391,38,[('Ravillion', 38)]
234,Dareki,403,34,[('Binary', 34)]
235,Hugh Janus,407,38,[('New Generation', 38)]
236,DekU,420,34,[('Binary', 34)]
237,[Ub̶S]72x,424,34,[('Adrenaline 4.1', 34)]
238,ChopaFlow,426,80,[('Aimlicious', 42), ('Ravillion', 38)]
239,Morty,434,38,[('Ravillion', 38)]
240,Nob,443,34,[('Binary', 34)]
241,[D] Syltoox,447,42,[('Heartcore', 42)]
242,ANXTON RETARD,453,72,[('Genericore 6', 34), ('Ravillion', 38)]
243,Fake,491,38,[('Ravillion', 38)]
244,CC,500,114,[('Genericore 6', 34), ('Ravillion', 38), ('Heartcore', 42)]
245,Elephant sequel,505,80,[('Ravillion', 38), ('Heartcore', 42)]
246,NotXna,518,72,[('Binary', 34), ('Ravillion', 38)]
247,Lena,557,38,[('Ravillion', 38)]
248,#ripbrazil,557,38,[('Ravillion', 38)]
249,Kaori Miyazono,564,68,[('The Enchanted Clearing', 34), ('Genericore 6', 34)]
250,хуй,572,72,[('Binary', 34), ('Ravillion', 38)]
251,KandiiF,580,38,[('Ravillion', 38)]
252,(1)maniac,588,34,[('Binary', 34)]
253,人形,623,114,[('Binary', 34), ('Ravillion', 38), ('Heartcore', 42)]
254,teeful name,655,42,[('4u', 42)]
255,moe,666,68,[('Shockwave', 34), ('4q', 34)]
256,VéNaGoD,667,72,[('Binary', 34), ('Ravillion', 38)]
257,I'm high,679,42,[('Back in Time 2', 42)]
258,mugge,680,80,[('Ravillion', 38), ('Heartcore', 42)]
259,kurabo,683,110,[('Binary', 34), ('Ton', 34), ('Justice 2', 42)]
260,Alexis>:c,700,34,[('Springlobe 3', 34)]
261,!,702,38,[('Ravillion', 38)]
262,e,713,34,[('Justice', 34)]
263,GooranBigNob,717,38,[('Ravillion', 38)]
264,Chrona,719,38,[('Ravillion', 38)]
265,Twengle,729,34,[('Genericore 6', 34)]
266,Hasipups,741,38,[('Ravillion', 38)]
267,ScRooNy,743,42,[('Heartcore', 42)]
268,nopea [D],744,38,[('Ravillion', 38)]
269,Lastmagic Baka,749,34,[('Justice', 34)]
270,.:Mivv,783,34,[('Binary', 34)]
271,bitchoke,784,80,[('Ghoul', 42), ('Ravillion', 38)]
272,ıηx,804,68,[('Genericore 6', 34), ('Ton', 34)]
273,ShyzoFrenia,807,34,[('Binary', 34)]
274,Batei Aurora,843,34,[('Binary', 34)]
275,Ruby,848,38,[('Ravillion', 38)]
276,iKoma,852,38,[('Ravillion', 38)]
277,Boy,885,38,[('Ravillion', 38)]
278,kys (:,917,80,[('Ravillion', 38), ('Heartcore', 42)]
279,,,946,38,[('Ravillion', 38)]
280,ToYota.,957,80,[('Ravillion', 38), ('Heartcore', 42)]
281,?,984,38,[('Ravillion', 38)]
282,Trap N7,991,34,[('Binary', 34)]
283,learning reo,995,72,[('New Generation', 38), ('Genericore 6', 34)]
284,Micro,1007,34,[('Justice', 34)]
285,ɑɱɑɀɩŋɢ',1017,34,[('Adrenaline 4.1', 34)]
286,Vagisil,1054,42,[('Back in Time 2', 42)]
287,Pulsar,1066,34,[('Binary', 34)]
288,Stooki,1071,34,[('Binary', 34)]
289,Bobo,1076,34,[('Generic World', 34)]
290,GaLaXy,1112,38,[('HellCore', 38)]
291,zupo,1113,34,[('4q', 34)]
292,loop_sucks,1139,102,[('Not Naufrage 4', 34), ('Shockwave', 34), ('4q', 34)]
293,Gobroxx,1147,68,[('Genericore 6', 34), ('4q', 34)]
294,D,1168,38,[('Ravillion', 38)]
295,Hoffi,1202,34,[('4q', 34)]
296,Zargon,1207,34,[('Justice', 34)]
297,Nayro,1236,38,[('Ravillion', 38)]
298,Hi,1274,38,[('Ravillion', 38)]
299,WENASQUAD,1283,122,[('Ravillion', 38), ('Heartcore', 42), ('4u', 42)]
300,Splash,1297,68,[('Generic World', 34), ('Springlobe 3', 34)]
301,Jim Lahey,1302,38,[('Ravillion', 38)]
302,Tyga:Dummy,1305,68,[('Binary', 34), ("Yo'Ci", 34)]
303,el 64,1307,34,[('Justice', 34)]
304,Dareko,1341,34,[('Binary', 34)]
305,champloo,1353,34,[('Springlobe 3', 34)]
306,Bra1der,1368,42,[('4u', 42)]
307,Harbinger,1385,34,[('Springlobe 3', 34)]
308,Тапок,1386,42,[('Justice 2', 42)]
309,)D(Natsume,1400,34,[('Aimazing', 34)]
310,ZiKkie Loh,1420,34,[('Generic World', 34)]
311,TA|Lena,1422,38,[('Ravillion', 38)]
312,nori,1441,34,[('4q', 34)]
313,k-312,1462,34,[('4q', 34)]
314,♫samu♫,1478,34,[('Springlobe 3', 34)]
315,iReimu,1492,42,[('4u', 42)]
316,Twike™,1541,42,[('Back in Time 2', 42)]
317,N9mkOik [CHEAT],1568,384,[('Binary', 34), ('Adrenaline 4.2', 34), ('Ravillion', 38), ('Tatooine 2', 42), ('The Enchanted Clearing', 34), ('Heartcore II', 50), ('Heartcore', 42), ('New Generation', 38), ('Ton', 34), ('HellCore', 38)]
318,Skull,1571,34,[('4q', 34)]
319,NiKoTiN :P,1621,34,[('Shawker', 34)]
320,Roco,1668,110,[('Binary', 34), ('Aimazing', 34), ('4u', 42)]
321,I.K.U!,1673,38,[('Ravillion', 38)]
322,Gordena,1683,102,[('Shockwave', 34), ('Generic World', 34), ('Genericore 6', 34)]
323,?645654?,1733,42,[('Justice 2', 42)]
324,TheMiniSun<3,1815,38,[('New Generation', 38)]
325,Shawn.sucks,1825,38,[('New Generation', 38)]
326,Nareem,1829,42,[('Back in Time 2', 42)]
327,growing,1841,106,[('Genericore 8', 38), ('Aimazing', 34), ('4q', 34)]
328,Tropo[D],1875,102,[('Adrenaline 4.1', 34), ('Nether', 34), ('Shockwave', 34)]
329,donut,1875,110,[('Ton', 34), ('4q', 34), ('4u', 42)]
330,camo,1898,34,[('Springlobe 3', 34)]
331,upoz,1901,34,[('4q', 34)]
332,Lowiteahe,1902,296,[('Aimlicious', 42), ('Binary', 34), ('Shockwave', 34), ('Genericore 8', 38), ('Ravillion', 38), ('Aimazing', 34), ('Springlobe 3', 34), ('Heartcore', 42)]
333,Linkx3,1912,80,[('Ravillion', 38), ('Heartcore', 42)]
334,Steal,1916,34,[('Shockwave', 34)]
335,.:Firulais:.,1930,68,[('Shockwave', 34), ('Genericore 6', 34)]
336,Yumiko,1946,68,[('Genericore 6', 34), ('4q', 34)]
337,Learath2,1953,34,[('Genericore 6', 34)]
338,Virus2gay,1966,80,[('New Generation', 38), ('Back in Time 2', 42)]
339,ᴭᴿᴼ,1968,34,[('Generic World', 34)]
340,Chikatto Chika,1974,34,[('Genericore 6', 34)]
341,aaa,1983,34,[('Justice', 34)]
342,sevvv.aa,1992,34,[('Shockwave', 34)]
343,Nomlow,2015,42,[('Back in Time 2', 42)]
344,RonIn,2036,38,[('Ravillion', 38)]
345,Mithrandir,2036,42,[('Back in Time 2', 42)]
346,Mischga sucks,2040,178,[('Binary', 34), ('Aimazing', 34), ('Heartcore', 42), ('Generic World', 34), ('Shawker', 34)]
347,pipo,2065,34,[('The Enchanted Clearing', 34)]
348,✧Rune,2079,34,[('Not Naufrage 4', 34)]
349,ijob,2081,34,[('Ton', 34)]
350,Wizh,2125,34,[('Shockwave', 34)]
351,ok,2159,38,[('Ravillion', 38)]
352,J$ON,2189,220,[('Ravillion', 38), ('Springlobe 3', 34), ('Not Naufrage 4', 34), ('Heartcore', 42), ('Shawker', 34), ('Resistance', 38)]
353,Cenarrius,2200,34,[('Adrenaline 4.1', 34)]
354,White Jack,2215,38,[('Ravillion', 38)]
355,Tenroujima,2221,42,[('Back in Time 2', 42)]
356,Ma Neng Hou,2247,38,[('Resistance', 38)]
357,Feuerfaust Ace,2248,38,[('New Generation', 38)]
358,Silex,2257,110,[('Adrenaline 4.1', 34), ('Justice 2', 42), ('4q', 34)]
359,DuDuDudos,2320,34,[('Genericore 6', 34)]
360,Herofox,2322,38,[('Ravillion', 38)]
361,DaSocke :>,2328,118,[('Adrenaline 5', 42), ('Genericore 6', 34), ('4u', 42)]
