Map: Time, Date
Stereotype 5:	3972.72,	2017-02-23 11:20:53
Hell-time:	52.88,	2017-02-26 02:07:49
Exchange:	105.82,	2017-03-04 05:46:24
Love 0.6:	64.04,	2017-03-18 01:07:09
Snowy Sakura I:	568.54,	2017-03-29 23:04:01
DarkCore 4:	473.2,	2017-03-31 03:09:53
Tricktee:	272.84,	2017-03-31 20:43:11
DarkCore 1:	106.78,	2017-04-02 07:41:55
Cemetery:	227.34,	2017-04-02 13:49:58
Emerald:	704.64,	2017-04-07 15:27:44
Dusty Road:	377.02,	2017-04-08 16:41:31
Fishbone:	387.42,	2017-04-10 19:13:16
Miper 5:	226.98,	2017-04-22 18:28:46
Intothenight:	291.42,	2017-04-23 23:49:33
Plan A:	563.64,	2017-04-24 22:51:31
Kobra 4:	773.36,	2017-04-26 14:20:56
FlipLipp10:	194.72,	2017-04-26 16:43:37
Valley 2:	1097.26,	2017-04-29 13:19:16
Elumite:	639.6,	2017-04-29 21:32:36
Pranki:	152.76,	2017-04-30 22:07:36
FreeDoom:	1135.92,	2017-05-01 05:06:29
BrokeysChallenge:	193.4,	2017-05-03 06:32:09
Grace:	837.3,	2017-05-04 16:44:16
Toadsquad:	185.6,	2017-05-24 16:21:24
Lunar Base:	303.58,	2017-05-25 15:37:19
Stones:	2212.48,	2017-05-28 03:19:27
Into the Wild:	1500.6,	2017-06-02 16:33:20
Ice Cave 2:	1351.2,	2017-06-03 00:09:20
Baguette:	1651.18,	2017-06-03 00:54:07
run_grass_hell:	510.42,	2017-06-08 00:04:25
Triple Kill:	1965.8,	2017-06-17 12:59:31
Ray - 1:	348.7,	2017-06-17 16:05:55
Autumn Sky:	112.6,	2017-06-18 09:46:15
Hollow 2:	371.02,	2017-06-18 15:52:24
Rocket Player:	46.02,	2017-06-20 14:24:06
BackToBasics2:	239.14,	2017-06-20 16:58:34
TheVoiD:	806.28,	2017-06-20 17:46:26
Memories:	332.16,	2017-06-22 19:50:17
FWYS Key 1:	699.58,	2017-06-25 03:16:00
Green Agony:	599.86,	2017-06-25 20:40:57
Undrag2:	97.84,	2017-06-26 14:08:37
Fender:	593.46,	2017-06-27 00:43:29
Ice:	599.22,	2017-06-28 07:50:53
Miper 3:	294.32,	2017-06-29 00:53:53
At Night:	1257.72,	2017-06-29 08:27:34
Genericore 2:	600.9,	2017-06-29 16:22:24
Yumizo:	747.62,	2017-06-30 17:55:25
Teestar:	431.46,	2017-07-05 18:18:02
GHB_DDrace:	383.52,	2017-07-09 21:36:16
GlassBox 4:	42.98,	2017-07-11 01:26:52
StepByStep:	90.7,	2017-07-11 01:54:29
Triplecan 2:	130.34,	2017-07-15 16:23:18
Intercepter:	2138.1,	2017-07-16 21:19:27
Autumn Sunset:	45.62,	2017-07-19 00:08:31
Sabell:	558.86,	2017-07-20 14:34:14
MonkeyDream 3:	678.72,	2017-07-20 17:52:49
MoonPie:	514.18,	2017-07-20 23:50:00
run_4popo:	151.34,	2017-07-22 01:06:26
run_skizz_loop1200:	73.24,	2017-07-24 03:18:25
run_tee:	40.44,	2017-07-26 16:23:56
Nyan Cat:	34.68,	2017-07-26 19:43:24
frustrainleave:	122.94,	2017-07-27 01:01:17
run_inset_into_the_light:	63.64,	2017-07-27 13:52:19
The Beginning:	561.12,	2017-07-28 22:59:03
SkyLand2:	486.26,	2017-07-29 19:37:58
Hermit:	43.04,	2017-07-30 20:11:05
run_the_rock:	90.86,	2017-08-01 14:50:38
Back in the days 3:	1951.64,	2017-08-01 19:43:43
Caverun:	463.04,	2017-08-02 15:59:35
run_keksi:	139.9,	2017-08-03 13:59:21
run_4xerhul2:	228.86,	2017-08-03 22:06:42
Verification 7.2:	84.8,	2017-08-05 16:08:27
TryThis:	439.0,	2017-08-05 16:20:35
Verification 7.1:	43.68,	2017-08-06 15:38:06
Rogue World:	678.6,	2017-08-06 20:05:58
run_dragon:	58.26,	2017-08-06 21:57:00
Verification 6.1:	28.44,	2017-08-07 13:26:40
It's Easy:	113.5,	2017-08-07 15:03:50
