No.,Map,Points,CountOfFinishedTees,MedianTime(min),PeX_time(min)
1161,Tiny Tandem,3,19923,11.17,2.07
1162,Kobra 3,4,20022,55.72,12.7
1163,Houll,3,20168,20.33,5.92
1164,Firewatch,3,20176,10.24,2.6
1165,GlassBox 2,2,20391,6.21,1.76
1166,Island Rush,3,20666,16.88,4.35
1167,Ice Water,3,20838,10.08,2.17
1168,Fluff,3,20914,9.98,2.25
1169,Dark Moon,3,20998,27.22,6.49
1170,Empire Desp,5,21141,28.27,5.13
1171,Easy 1,2,21544,10.31,1.8
1172,Cool,4,22032,10.13,1.78
1173,Lavender Forest,5,22076,19.85,5.58
1174,Halloween Night,2,22974,7.74,1.58
1175,BlueChaos,4,23051,15.06,2.22
1176,Absurd 4,4,23178,24.9,5.63
1177,Hoo!,4,23209,9.86,2.43
1178,Cartoon,4,23398,16.89,3.12
1179,Basics,1,23536,7.67,1.8
1180,Light Grey,3,23557,33.57,8.72
1181,Planet Mercury,4,23612,25.17,6.11
1182,[School] Hook,2,24114,11.26,2.33
1183,Sincera 2,5,24184,27.22,16.65
1184,Harvest,4,24742,11.24,2.11
1185,Iris,4,24751,8.7,1.68
1186,Sketch,5,24752,18.07,6.01
1187,For Idiots 1,2,25013,13.39,3.65
1188,Sunlight,3,25305,6.51,1.92
1189,Absurd 2,3,25320,15.17,3.69
1190,Bullets,3,26072,10.01,2.34
1191,Tangerine,1,26453,1.76,0.5
1192,Sincera,4,26516,13.27,4.01
1193,Introduction,2,28023,16.92,3.03
1194,Linear,2,28129,1.99,0.76
1195,ZeroX,2,28227,20.72,4.3
1196,It's Easy,2,28267,9.07,2.61
1197,Inure,3,30110,6.42,1.62
1198,Kobra 4,4,30235,47.2,12.64
1199,Multimap,6,30280,43.09,9.18
1200,Pados 1,1,30650,15.82,3.89
1201,Water Lily,2,30814,4.32,1.4
1202,Beyond Dreams,2,32391,7.71,1.76
1203,Camouflage,3,32456,9.28,1.81
1204,newbee,2,33272,10.57,3.09
1205,Seasons,1,35419,19.18,4.12
1206,CandyLand,1,35899,15.12,3.95
1207,Tsunami,1,41229,4.94,0.96
1208,Gold Mine,1,41815,3.92,0.85
1209,4Nubs,1,46652,7.98,1.6
1210,Kobra 2,3,48308,37.95,8.89
1211,Epix,4,48417,31.42,8.13
1212,Kobra,4,55077,50.83,12.01
1213,StepByStep,1,57407,5.65,1.85
1214,4Beginners,1,61321,5.9,1.91
1215,Just2Easy,1,84169,7.58,2.42
1216,Sunny Side Up,3,88253,7.73,2.12
1217,LearnToPlay,2,91905,22.13,5.63
1218,Multeasymap,5,102840,28.22,6.59
