No.,Map,Points,CountOfUnfinishedTees,MedianTime(min)
385,run_radioactive,6,402,4.14
386,Flow,21,402,79.09
387,Iron Island,8,401,3.99
388,run_4xerhul,6,400,7.79
389,WoFs,18,399,158.0
390,Out of Castle,24,399,87.14
391,The Swamp,15,399,87.73
392,Explosive,12,397,55.11
393,Dynamic,21,396,51.09
394,run_the_rock,4,396,10.98
395,Aim 2.0,24,395,48.28
396,Koule 17,21,395,61.45
397,Cultist,20,395,13.06
398,Wasteland,21,394,53.15
399,Everdeen,21,394,84.04
400,The Tower,12,394,5.75
401,GenericRush1,18,394,25.96
402,Zadrotos 3,12,392,58.13
403,Resi,20,389,4.57
404,Uniswim,8,387,0.83
405,FWYS Key 1,13,384,43.74
406,Fallen Angel,12,384,16.72
407,Aim 9.0,27,382,61.49
408,Executive,20,382,79.43
409,Verification 3.1,8,382,2.23
410,Dawn Of The 7th Day,21,380,51.09
411,DarkCore 3,12,379,29.93
412,Notice 1,16,379,36.56
413,Templerun,20,377,20.61
414,Speedster,8,376,0.54
415,run_frosty,6,376,5.54
416,ShotFF,8,375,1.68
417,Springlobe,24,374,55.41
418,Besbex,16,372,35.86
419,Sonne, Mond und Sterne,11,371,35.56
420,Forever,20,371,48.0
421,SL1,12,370,20.08
422,Elitissimo,15,370,21.87
423,Maranko,15,367,12.38
424,NoMore! 3,21,365,80.81
425,Dummy 2,11,365,5.66
426,Death Sentence,18,364,33.02
427,Injection,25,363,28.28
428,NUT_hardcore_race5,12,361,24.48
429,SkyLand,18,361,49.17
430,Aim 11.0,27,356,60.0
431,Confusion,20,355,69.91
432,Lawliet,12,355,2.35
433,Felian,15,355,23.58
434,Spacetic,18,354,19.62
435,Acidate,18,354,37.05
436,run_not_short,6,353,8.43
437,Aim 3.0,24,352,25.56
438,Drunk,12,351,18.9
439,Killstreak 2,12,349,0.83
440,UpNDown3,12,348,25.71
441,Burger,21,347,7.83
442,Slow Santa,11,347,39.51
443,Allround2,12,347,1.99
444,Potty,21,347,76.72
445,Next,16,346,38.64
446,Exalate,12,344,54.49
447,Back in Time,27,344,113.8
448,ddrace_loop,12,343,48.25
449,Ice,16,343,31.49
450,Rocket Challenge,12,342,15.18
451,Run_Aim,6,342,18.74
452,NUT Hardcore UNITED,12,341,116.76
453,Hell Fly,16,341,15.52
454,Grand Shotgun,12,341,20.87
455,Sacred Source,13,340,4.16
456,Bubbles,13,339,64.85
457,Optimum,15,338,39.28
458,run_spring,6,338,7.81
459,HearTcross,20,337,77.0
